Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
19Jan19_Tst2,02/02/19 19:18, 1215291, 116, 677, 1184, 471, 5.83, 17.25
19Jan19_Tst2,02/02/19 19:42, 1244442, 116, 677, 1184, 471, 5.84, 17.06
19Jan19_Tst2,02/02/19 19:44, 1183119, 116, 677, 1184, 471, 5.83, 17.06
19Jan19_Tst2,02/02/19 19:46, 1329913, 116, 677, 1183, 471, 5.83, 17.13
19Jan19_Tst2,02/02/19 19:49, 1173012, 116, 677, 1184, 471, 5.83, 17.13
19Jan19_Tst2,02/02/19 19:51, 1312732, 116, 677, 1183, 471, 5.82, 17.13
19Jan19_Tst2,02/02/19 19:53, 1188284, 116, 677, 1183, 471, 5.83, 17.06
19Jan19_Tst2,02/02/19 19:55, 1267089, 116, 677, 1183, 471, 5.82, 17.06
19Jan19_Tst2,02/02/19 19:57, 1239678, 116, 677, 1184, 471, 5.81, 17.06
19Jan19_Tst2,02/02/19 19:59, 1254367, 116, 677, 1183, 471, 5.83, 17.06
19Jan19_Tst2,02/02/19 20:01, 1226680, 116, 677, 1184, 471, 5.83, 17.06
19Jan19_Tst2,02/03/19 04:55, 1256761, 116, 677, 1184, 471, 5.82, 15.19
19Jan19_Tst2,02/03/19 04:57, 1303192, 116, 677, 1184, 471, 5.81, 15.25
19Jan19_Tst2,02/03/19 04:59, 1209726, 116, 678, 1185, 471, 5.82, 15.25
19Jan19_Tst2,02/03/19 05:01, 1307889, 116, 677, 1184, 471, 5.82, 15.25
19Jan19_Tst2,02/03/19 05:03, 1188284, 116, 677, 1184, 471, 5.82, 15.38
19Jan19_Tst2,02/03/19 05:06, 1355533, 116, 677, 1184, 471, 5.83, 15.44
19Jan19_Tst2,02/03/19 05:08, 1238428, 116, 677, 1184, 471, 5.83, 15.50
19Jan19_Tst2,02/03/19 05:10, 1238428, 116, 677, 1184, 471, 5.83, 15.63
19Jan19_Tst2,02/03/19 05:12, 1276002, 116, 677, 1184, 471, 5.82, 15.69
19Jan19_Tst2,02/03/19 05:14, 1332307, 116, 677, 1184, 471, 5.83, 15.75
19Jan19_Tst2,02/03/19 05:16, 1273608, 116, 677, 1184, 471, 5.81, 15.81
19Jan19_Tst2,02/03/19 05:18, 1307889, 116, 677, 1184, 471, 5.82, 15.88
19Jan19_Tst2,02/03/19 05:20, 1269483, 116, 677, 1184, 471, 5.82, 15.88
19Jan19_Tst2,02/03/19 05:22, 1369340, 116, 677, 1184, 471, 5.81, 15.88
19Jan19_Tst2,02/03/19 05:25, 1224286, 116, 677, 1184, 471, 5.83, 15.81
19Jan19_Tst2,02/03/19 05:27, 1320073, 116, 677, 1184, 471, 5.83, 15.88
19Jan19_Tst2,02/03/19 05:29, 1282630, 116, 677, 1184, 471, 5.83, 15.88
19Jan19_Tst2,02/03/19 05:31, 1310283, 116, 677, 1184, 471, 5.82, 15.88
19Jan19_Tst2,02/03/19 05:33, 1269483, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 05:35, 1327543, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 05:37, 1226680, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 05:39, 1310283, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 05:41, 1282630, 116, 677, 1184, 471, 5.84, 15.94
19Jan19_Tst2,02/03/19 05:44, 1276002, 116, 677, 1184, 471, 5.82, 16.00
19Jan19_Tst2,02/03/19 05:46, 1224286, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 05:48, 1332307, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 05:50, 1254367, 116, 677, 1184, 471, 5.84, 15.94
19Jan19_Tst2,02/03/19 05:52, 1347651, 116, 677, 1184, 471, 5.81, 15.94
19Jan19_Tst2,02/03/19 05:54, 1258306, 116, 677, 1184, 471, 5.84, 16.00
19Jan19_Tst2,02/03/19 05:56, 1242048, 116, 677, 1184, 471, 5.83, 16.00
19Jan19_Tst2,02/03/19 05:58, 1242048, 116, 677, 1184, 471, 5.85, 16.00
19Jan19_Tst2,02/03/19 06:00, 1332307, 116, 677, 1184, 471, 5.83, 16.00
19Jan19_Tst2,02/03/19 06:02, 1250552, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 06:05, 1282630, 116, 677, 1184, 471, 5.81, 16.00
19Jan19_Tst2,02/03/19 06:07, 1256761, 116, 677, 1184, 471, 5.82, 16.00
19Jan19_Tst2,02/03/19 06:09, 1256761, 116, 677, 1184, 471, 5.83, 15.94
